userID,recipe,rating
U1077,Vegan Cashew Mayonnaise Recipe,2
U1077,Pui Shaker Chorchori Recipe - Mixed Vegetable Curry With Malabar Spinach,2
U1077,Fruit Chili Chutney - Andhra Red Chili Chutney Recipe,2
U1077,Gravel-til Bhakri Recipe (Cesme Crusted Barge Flobard),1
U1068,Eggless Thandai Mini Cheesecake Recipe,1
U1068,Coorg Style Kadumbuttu/Kadambuttu Recipe (Steamed Rice Balls Recipe),0
U1068,Thandai Panna Cotta With Strawberry And Mango Coulis Recipe,1
U1068, Green Beans Fry (Recipe In Hindi),0
U1068,Tamil Nadu Style Vengaya Sambar Recipe - Pearl Onion Sambar,1
U1067,Oatmeal Banana Mini Muffins Recipe,2
U1067,Kollu Vada Kurma Recipe (Horse Gram Fritters Spicy & Tangy Curry),1
U1067,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,1
U1067,Apple Pie Ice Cream Recipe,1
U1067,Buckwheat & Oat Waffle Recipe With Bananas & Vanilla Ice Cream,0
U1067,Whole Wheat Methi Garlic Naan Recipe  | Oven Method with yeast,1
U1103,Narikol Pitha Recipe - Sweetened Coconut Fritter,1
U1103,Stuffed Butter Recipe - Stuffed Spice Gravy,0
U1103,Parwal Ki Mithai Recipe -Pointed Gourd Sweet,1
U1103,Bitter Gourd Peel Puri Recipe,2
U1103,Apple Tea Latte Recipe,1
U1103,Shahi Paratha Recipe,1
U1103,Homemade Baked Donuts Recipe,1
U1103,Chinese Style Stir Fried Water Chestnut with Vegetables Recipe,2
U1107,Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,2
U1107,Vegetable Fried Brown Rice Recipe,2
U1107,Dahi Sabudana Recipe (Savory Tapioca Pearls Seasoned with Yogurt),2
U1044,Caprese Empanada Recipe With Tomato Basil And Mozzarella,2
U1044,Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,1
U1070,Punjabi Mixed Vegetable Kadai Recipe,2
U1070,Carrot and Capsicum Rice Recipe - Carrot and Capsicum Rice,1
U1070,Bajri Methi Na Vada Recipe - Pearl Millet Flour Fritters,1
U1031,Til Ke Ladoo Recipe - Sesame Ladoo Recipe,0
U1031,Saffron Cardamom Creme Brulée Recipe,0
U1031,Kathiawadi Dhokli Nu Shaak Recipe,0
U1082,Sabbakki Rava Idli Recipe- Sabudana Rava Idli,1
U1023,Kashmiri Style Yakhni Pulao With Chicken Recipe,0
U1023,Gajar Shalgam Ka Paani Wala Achar Recipe - Carrot And Turnip Pickle,0
U1082,Tofu and Shrimp Salad Recipe With Balsamic Dressing,0
U1082,Thalassery Chicken Biriyani Recipe,0
U1082,Puran Poli Recipe | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,0
U1082,"Stuffed Bread Rolls With Pumpkin, Onion & Cheese Recipe",0
U1082,Chocolate Tart Recipe,0
U1082,Stuffed Mussels Recipe,0
U1060,Dried Kala Chana Masala Recipe - Ashtami Prasad,2
U1060,Maharashtrian Anarsa Recipe,2
U1060,Chilka Roti Recipe (Jharkhand Style Rice and Lentil Roti),2
U1060,"Peas, Corn & Paneer Savory Hand Pies Recipe",1
U1015,Karnataka Style Gasagase Payasa Recipe- Poppy seed Payasam,0
U1123,Soft Masala Dosa With Red Chutney Recipe,1
U1123,Chicken Shawarma Recipe,1
U1123,Amla Methi Sukhi Sabzi Recipe - Healthy Diabetic Sabzi,2
U1123, Malvani Masala Powder Recipe,1
U1123,Rice Paper Vegetarian Spring Rolls Recipe (Healthy Summer Rolls),1
U1123,Delicious & Cheesy Spaghetti Sandwich Recipe,1
U1123,Banana-Almond Butter Bread Recipe,1
U1123,Potato And Peas Curry Recipe In Coconut Milk Gravy,1
U1021,Chettinad Masala Powder Recipe,2
U1026,Savoury Oatmeal Porridge Recipe,2
U1021,Ginger Garlic Chicken Recipe,2
U1021,Indian Chicken Keema Sliders Recipe,2
U1044,Chettinad Idiyappam Recipe,0
U1083,Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),2
U1083,Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,1
U1083,Chicken with Creamy Mushroom Sauce Recipe,2
U1108,Bhindi and Capsicum Sabzi Recipe,2
U1108,Chettinad Mixed Bean Adai Recipe,1
U1108,Manipuri Style Sana Thongpa Recipe-Paneer and Green Beans in Milk Gravy Recipe,2
U1108,Vegetarian Mexican Chili for Tacos Recipe - Made from Horse Gram,1
U1108,Delhi Style Fruit Chaat Recipe -Homemade Kulle Chaat Of North India,1
U1108,Jowar Dhani Chivda Recipe,2
U1108,Sabudana Khatti Meethi Namkeen Recipe,1
U1108,Sooji Manpasand Burfi Recipe - Semolina Coconut Fudge,2
U1108,Macher Chop Recipe (Bengali Style Fish Croquettes),1
U1108,Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,1
U1012,Milagu Jeera Curry Leaf Sadam Recipe,1
U1012,Chocolate And Oats Christmas Cookie Cake Recipe,2
U1012,Rabodi Ki Sabzi Recipe,2
U1093,Bloomed Potato Cheesy Muffins Recipe,2
U1093,Peanut Garlic Chutney Powder Recipe,2
